latitude,longitude,task_created_time,task_completed_time,amount,cod_received_status,task_assigned_to,task_status,flow,task_id,branch_destination,task_status_label,receiver_city,task_detail_status_label,task_detail_status,weight,branch_origin,task_status_id
-0.1669174,100.579277,2022-11-01 10:56:04 +0700,2022-11-01 13:17:57 +0700,482000,True,cautiousCoconut1,done,Delivery,afa69d9a3bd8dd99e2d4,PDG,Success,"MUNGKA,SARILAMAK",YANG BERSANGKUTAN,D01,2,CGK,COLF01
-0.1489404,100.562095,2022-11-01 10:56:04 +0700,2022-11-01 12:19:23 +0700,169050,True,cautiousCoconut1,done,Delivery,e1b8a18fc9edd4817e3d,PDG,Success,PAYAKUMBUH,YANG BERSANGKUTAN,D01,1,CGK,COLF01
-0.1530287,100.5756253,2022-11-01 10:56:04 +0700,2022-11-01 12:44:26 +0700,113000,True,cautiousCoconut1,done,Delivery,a1c0763af2ad277abb71,PDG,Success,"GUGUK,SARILAMAK",YANG BERSANGKUTAN,D01,1,JOG,COLF01
-0.1338771,100.5444494,2022-11-01 10:56:07 +0700,2022-11-01 15:56:59 +0700,208000,True,cautiousCoconut1,done,Delivery,c24973ee4717340f2954,PDG,Success,"GUGUK,SARILAMAK",YANG BERSANGKUTAN,D01,1,BDO,COLF01
-6.3590878,106.403966,2022-11-01 15:14:43 +0700,2022-11-01 15:23:12 +0700,150000,True,tautHeron6,done,Delivery,d12dbc13a8df39321a38,CLG,Success,"CURUGBITUNG ,RANGKAS",YANG BERSANGKUTAN,D01,1,JOG,COLF01
-6.3590878,106.403966,2022-11-01 15:14:43 +0700,2022-11-01 15:23:33 +0700,111000,True,tautHeron6,done,Delivery,f69df54589eaa9bb0fc9,CLG,Success,"CURUGBITUNG ,RANGKAS",YANG BERSANGKUTAN,D01,0.8,CGK,COLF01
-0.1195932,100.5668303,2022-11-01 10:56:04 +0700,2022-11-01 13:15:43 +0700,35000,True,cautiousCoconut1,done,Delivery,e02e059d141aaec69bc1,PDG,Success,"MUNGKA,SARILAMAK",YANG BERSANGKUTAN,D01,1,MES,COLF01
-0.1650771,100.537481,2022-11-01 10:56:04 +0700,2022-11-01 12:04:34 +0700,235000,True,cautiousCoconut1,done,Delivery,7cd56e57a532bf883965,PDG,Success,"GUGUK,SARILAMAK",YANG BERSANGKUTAN,D01,1,CGK,COLF01
-0.1489404,100.562095,2022-11-01 10:56:04 +0700,2022-11-01 12:21:23 +0700,192000,True,cautiousCoconut1,done,Delivery,de811b2f2494378dbbf0,PDG,Success,"GUGUK,SARILAMAK",YANG BERSANGKUTAN,D01,1,CGK,COLF01
-0.136384,100.5264265,2022-11-01 10:56:07 +0700,2022-11-01 15:12:47 +0700,223000,True,cautiousCoconut1,done,Delivery,c3e8fd79f6dfaad8b248,PDG,Success,"GUGUK,SARILAMAK",YANG BERSANGKUTAN,D01,1,CGK,COLF01
-0.107262,100.5436705,2022-11-01 10:56:05 +0700,2022-11-01 14:07:52 +0700,164000,True,cautiousCoconut1,done,Delivery,0a928b58af04adc831e2,PDG,Success,"GUGUK,SARILAMAK",YANG BERSANGKUTAN,D01,1,CGK,COLF01
-0.1258288,100.5723361,2022-11-01 10:56:04 +0700,2022-11-01 13:11:16 +0700,279000,True,cautiousCoconut1,done,Delivery,82f3e3482faf57d8fd00,PDG,Success,"MUNGKA,SARILAMAK",YANG BERSANGKUTAN,D01,1,CGK,COLF01
-0.1136192,100.5559926,2022-11-01 10:56:05 +0700,2022-11-01 13:52:20 +0700,135000,True,cautiousCoconut1,done,Delivery,7b25c424056c513a304c,PDG,Success,"MUNGKA,SARILAMAK",YANG BERSANGKUTAN,D01,1,CGK,COLF01
-0.143195,100.4965517,2022-11-01 10:56:07 +0700,2022-11-01 15:27:55 +0700,414000,True,cautiousCoconut1,done,Delivery,edaaa092bb5d7f69a527,PDG,Success,"LUHAK,KAB. LIMA PULU",YANG BERSANGKUTAN,D01,1,CGK,COLF01
-0.1186635,100.5209986,2022-11-01 10:56:06 +0700,2022-11-01 14:52:42 +0700,215000,True,cautiousCoconut1,done,Delivery,f7b80250cc82799b104d,PDG,Success,"GUGUK,SARILAMAK",YANG BERSANGKUTAN,D01,1,CGK,COLF01
