,date_start,date_stop,time_start,time_stop,latitude,longitude,amount,cod_received_status,task_status,flow,branch_destination,task_status_label,task_detail_status_label,task_detail_status,weight,branch_origin,task_status_id,task_assigned_to,task_id,receiver_city,delivery_time
508,2022-11-01,2022-11-01,07:24:04,16:44:51,-7.3003573,108.7793511,100716.0,True,done,Delivery,CXP,Success,YANG BERSANGKUTAN,D01,0.85,CGK,COLF01,importedStork6,97b76a4eed90eccb9a18,"WANAREJA,CILACAP",560.7833333333333
509,2022-11-01,2022-11-01,07:24:04,16:43:05,-7.3003573,108.7793511,95500.0,True,done,Delivery,CXP,Success,YANG BERSANGKUTAN,D01,0.36,CGK,COLF01,importedStork6,718b947e535236670c12,"WANAREJA,CILACAP",559.0166666666667
510,2022-11-01,2022-11-01,07:24:04,16:47:36,-7.3003581,108.7793512,68900.0,True,done,Delivery,CXP,Success,YANG BERSANGKUTAN,D01,0.35,CGK,COLF01,importedStork6,d9a02c516b1b939f2505,"WANAREJA,CILACAP",563.5333333333333
511,2022-11-01,2022-11-01,07:24:04,09:43:38,-7.3439632,108.6214859,96400.0,True,done,Delivery,CXP,Success,YANG BERSANGKUTAN,D01,0.5,CGK,COLF01,importedStork6,48c50bfee2f23e6c204c,"WANAREJA,CILACAP",139.56666666666666
512,2022-11-01,2022-11-01,07:24:04,16:43:27,-7.3003573,108.7793511,35619.0,True,done,Delivery,CXP,Success,YANG BERSANGKUTAN,D01,0.3,CGK,COLF01,importedStork6,5d77306a00dd711125e9,"WANAREJA,CILACAP",559.3833333333333
513,2022-11-01,2022-11-01,07:24:04,16:47:52,-7.3003581,108.7793512,129000.0,True,done,Delivery,CXP,Success,YANG BERSANGKUTAN,D01,1.0,CGK,COLF01,importedStork6,8b1495c48e35d46bf4c8,"WANAREJA,CILACAP",563.8
514,2022-11-01,2022-11-01,07:24:05,16:48:31,-7.3003581,108.7793512,31400.0,True,done,Delivery,CXP,Success,YANG BERSANGKUTAN,D01,0.03,CGK,COLF01,importedStork6,bb49bd41e582e8ce53ef,"WANAREJA,CILACAP",564.4333333333333
515,2022-11-01,2022-11-01,09:47:09,18:29:44,-7.5601742,110.6725263,105575.0,True,done,Delivery,SOC,Success,YANG BERSANGKUTAN,D01,1.0,CGK,COLF01,innocentLion6,246f473b25a19cb9d542,"MOJOSONGO, BOYOLALI",522.5833333333334
516,2022-11-01,2022-11-01,17:20:29,17:20:44,-0.2217116,100.6294981,238160.0,True,done,Delivery,PDG,Success,YANG BERSANGKUTAN,D01,1.0,CGK,COLF01,amazedSalami5,e3141bde4c71fa66dd02,"PAYAKUMBUH BARAT, PA",0.25000000000000006
517,2022-11-01,2022-11-01,07:24:04,16:46:59,-7.3003581,108.7793512,55894.0,True,done,Delivery,CXP,Success,YANG BERSANGKUTAN,D01,0.15,CGK,COLF01,importedStork6,6e42e208b6e540883858,"WANAREJA,CILACAP",562.9166666666666
518,2022-11-01,2022-11-01,07:24:05,16:48:51,-7.3003581,108.7793512,58300.0,True,done,Delivery,CXP,Success,YANG BERSANGKUTAN,D01,0.2,CGK,COLF01,importedStork6,8dd7908bb1e9242f9513,"WANAREJA,CILACAP",564.7666666666667
519,2022-11-01,2022-11-01,07:24:04,16:46:09,-7.3003581,108.7793512,123500.0,True,done,Delivery,CXP,Success,YANG BERSANGKUTAN,D01,2.4,CGK,COLF01,importedStork6,9b9dc13ce2614060f458,"WANAREJA,CILACAP",562.0833333333334
520,2022-11-01,2022-11-01,08:35:18,11:35:04,-7.9201578,112.5885882,18374.0,True,done,Delivery,MXG,Success,PENJAGA KOS,D08,0.02,CGK,COLF01,wornoutEggs4,037e04cde4e6fdadfa13,"DAU, KABUPATEN MALAN",179.76666666666668
