time_start,time_stop
09:23:37,16:06:28
09:23:37,14:03:53
09:23:37,14:11:12
08:12:30,11:36:11
08:11:39,10:51:29
08:11:39,11:17:47
08:11:39,10:20:58
08:37:40,10:52:18
08:37:40,09:59:03
08:37:40,10:07:37
08:37:40,09:45:59
08:37:40,10:35:03
08:37:40,10:15:11
08:37:40,09:14:20
09:25:07,18:52:14
09:25:06,18:48:50
09:25:06,18:49:26
11:47:42,12:12:09
13:45:02,20:49:54
13:45:02,20:47:56
11:53:22,17:08:46
08:53:42,18:52:52
08:53:42,18:52:19
13:42:49,17:05:47
13:42:49,17:06:15
10:12:12,16:44:36
10:12:10,12:53:41
10:12:11,14:19:58
09:32:44,10:21:13
09:32:44,17:27:05
09:32:44,10:32:50
09:32:44,17:17:12
09:32:44,11:46:01
11:33:46,12:51:43
11:33:46,14:17:00
11:33:46,12:24:18
10:12:11,10:23:13
10:12:11,15:40:05
11:33:46,11:52:29
11:33:46,12:03:57
11:33:46,14:01:19
11:33:47,12:56:12
11:33:47,13:11:23
11:33:46,13:41:22
10:41:32,11:54:58
10:41:32,11:36:00
14:38:47,14:39:25
10:12:08,10:38:37
10:41:32,15:13:13
10:41:32,11:54:58
10:41:32,12:12:41
10:41:32,14:28:22
10:41:32,14:48:40
10:41:32,12:12:41
10:41:32,11:54:58
10:41:32,15:22:11
10:06:36,18:07:33
10:06:35,11:12:03
10:06:35,11:29:14
10:06:36,11:31:23
14:19:40,14:53:31
14:19:40,16:05:48
11:59:58,19:07:55
11:59:58,14:31:14
11:59:58,14:47:55
11:59:58,19:07:05
14:16:55,14:27:10
11:59:58,19:06:36
10:12:11,14:28:50
10:12:10,14:45:04
11:33:46,12:28:11
11:33:46,12:17:28
11:33:47,13:09:47
11:33:47,13:25:22
18:33:43,18:44:10
09:10:15,12:06:23
09:10:14,10:28:23
09:10:14,10:28:23
09:10:14,10:28:23
09:10:14,10:28:23
11:59:52,15:03:09
11:59:51,16:06:50
11:59:52,14:02:33
11:59:52,18:34:43
11:59:51,12:28:08
09:10:15,12:45:14
09:10:15,09:44:19
09:10:14,12:06:23
09:10:14,10:28:23
09:10:15,09:43:55
09:10:14,10:28:23
11:19:24,14:18:45
09:52:41,17:11:30
10:29:12,14:51:45
10:29:12,14:21:10
10:29:12,15:28:48
10:29:12,12:32:27
10:29:12,14:46:44
