date_start,date_stop,time_start,time_stop,latitude,longitude,amount,cod_received_status,task_status,flow,branch_destination,task_status_label,task_detail_status_label,task_detail_status,weight,branch_origin,task_status_id,task_created_time,task_completed_time,task_assigned_to,task_id,receiver_city
2022-11-01,2022-11-01,10:56:07,15:44:24,-0.1347667,100.5217322,254000.0,True,done,Delivery,PDG,Success,YANG BERSANGKUTAN,D01,1.0,CGK,COLF01,2022-11-01 10:56:07 +0700,2022-11-01 15:44:24 +0700,cautiousCoconut1,baf065352dcfe71f5c08,"GUGUK,SARILAMAK"
2022-11-01,2022-11-01,10:56:05,14:13:11,-0.107262,100.5436705,164500.0,True,done,Delivery,PDG,Success,YANG BERSANGKUTAN,D01,1.0,JOG,COLF01,2022-11-01 10:56:05 +0700,2022-11-01 14:13:11 +0700,cautiousCoconut1,917e65ca46bda71c99a0,"GUGUK,SARILAMAK"
2022-11-01,2022-11-01,10:56:07,16:28:27,-0.1354534,100.5465114,204970.0,True,done,Delivery,PDG,Success,YANG BERSANGKUTAN,D01,1.0,CGK,COLF01,2022-11-01 10:56:07 +0700,2022-11-01 16:28:27 +0700,cautiousCoconut1,98d573d6d783ecba1eb0,"GUGUK,SARILAMAK"
2022-11-01,2022-11-01,10:56:06,14:54:32,-0.120356,100.5244858,210000.0,True,done,Delivery,PDG,Success,YANG BERSANGKUTAN,D01,0.25,CGK,COLF01,2022-11-01 10:56:06 +0700,2022-11-01 14:54:32 +0700,cautiousCoconut1,f79b959bc0150511ca27,"GUGUK,SARILAMAK"
2022-11-01,2022-11-01,10:56:06,14:21:57,-0.0944749,100.5372374,120000.0,True,done,Delivery,PDG,Success,YANG BERSANGKUTAN,D01,1.0,PDG,COLF01,2022-11-01 10:56:06 +0700,2022-11-01 14:21:57 +0700,cautiousCoconut1,db9195f47e1414422b0e,"GUGUK,SARILAMAK"
2022-11-01,2022-11-01,10:56:04,13:17:57,-0.1669174,100.579277,482000.0,True,done,Delivery,PDG,Success,YANG BERSANGKUTAN,D01,2.0,CGK,COLF01,2022-11-01 10:56:04 +0700,2022-11-01 13:17:57 +0700,cautiousCoconut1,afa69d9a3bd8dd99e2d4,"MUNGKA,SARILAMAK"
2022-11-01,2022-11-01,10:56:04,12:19:23,-0.1489404,100.562095,169050.0,True,done,Delivery,PDG,Success,YANG BERSANGKUTAN,D01,1.0,CGK,COLF01,2022-11-01 10:56:04 +0700,2022-11-01 12:19:23 +0700,cautiousCoconut1,e1b8a18fc9edd4817e3d,PAYAKUMBUH
2022-11-01,2022-11-01,10:56:04,12:44:26,-0.1530287,100.5756253,113000.0,True,done,Delivery,PDG,Success,YANG BERSANGKUTAN,D01,1.0,JOG,COLF01,2022-11-01 10:56:04 +0700,2022-11-01 12:44:26 +0700,cautiousCoconut1,a1c0763af2ad277abb71,"GUGUK,SARILAMAK"
2022-11-01,2022-11-01,10:56:07,15:56:59,-0.1338771,100.5444494,208000.0,True,done,Delivery,PDG,Success,YANG BERSANGKUTAN,D01,1.0,BDO,COLF01,2022-11-01 10:56:07 +0700,2022-11-01 15:56:59 +0700,cautiousCoconut1,c24973ee4717340f2954,"GUGUK,SARILAMAK"
2022-11-01,2022-11-01,15:14:43,15:23:12,-6.3590878,106.403966,150000.0,True,done,Delivery,CLG,Success,YANG BERSANGKUTAN,D01,1.0,JOG,COLF01,2022-11-01 15:14:43 +0700,2022-11-01 15:23:12 +0700,tautHeron6,d12dbc13a8df39321a38,"CURUGBITUNG ,RANGKAS"
2022-11-01,2022-11-01,15:14:43,15:23:33,-6.3590878,106.403966,111000.0,True,done,Delivery,CLG,Success,YANG BERSANGKUTAN,D01,0.8,CGK,COLF01,2022-11-01 15:14:43 +0700,2022-11-01 15:23:33 +0700,tautHeron6,f69df54589eaa9bb0fc9,"CURUGBITUNG ,RANGKAS"
2022-11-01,2022-11-01,10:56:04,13:15:43,-0.1195932,100.5668303,35000.0,True,done,Delivery,PDG,Success,YANG BERSANGKUTAN,D01,1.0,MES,COLF01,2022-11-01 10:56:04 +0700,2022-11-01 13:15:43 +0700,cautiousCoconut1,e02e059d141aaec69bc1,"MUNGKA,SARILAMAK"
2022-11-01,2022-11-01,10:56:04,12:04:34,-0.1650771,100.537481,235000.0,True,done,Delivery,PDG,Success,YANG BERSANGKUTAN,D01,1.0,CGK,COLF01,2022-11-01 10:56:04 +0700,2022-11-01 12:04:34 +0700,cautiousCoconut1,7cd56e57a532bf883965,"GUGUK,SARILAMAK"
2022-11-01,2022-11-01,10:56:04,12:21:23,-0.1489404,100.562095,192000.0,True,done,Delivery,PDG,Success,YANG BERSANGKUTAN,D01,1.0,CGK,COLF01,2022-11-01 10:56:04 +0700,2022-11-01 12:21:23 +0700,cautiousCoconut1,de811b2f2494378dbbf0,"GUGUK,SARILAMAK"
2022-11-01,2022-11-01,10:56:07,15:12:47,-0.136384,100.5264265,223000.0,True,done,Delivery,PDG,Success,YANG BERSANGKUTAN,D01,1.0,CGK,COLF01,2022-11-01 10:56:07 +0700,2022-11-01 15:12:47 +0700,cautiousCoconut1,c3e8fd79f6dfaad8b248,"GUGUK,SARILAMAK"
2022-11-01,2022-11-01,10:56:05,14:07:52,-0.107262,100.5436705,164000.0,True,done,Delivery,PDG,Success,YANG BERSANGKUTAN,D01,1.0,CGK,COLF01,2022-11-01 10:56:05 +0700,2022-11-01 14:07:52 +0700,cautiousCoconut1,0a928b58af04adc831e2,"GUGUK,SARILAMAK"
2022-11-01,2022-11-01,10:56:04,13:11:16,-0.1258288,100.5723361,279000.0,True,done,Delivery,PDG,Success,YANG BERSANGKUTAN,D01,1.0,CGK,COLF01,2022-11-01 10:56:04 +0700,2022-11-01 13:11:16 +0700,cautiousCoconut1,82f3e3482faf57d8fd00,"MUNGKA,SARILAMAK"
2022-11-01,2022-11-01,10:56:05,13:52:20,-0.1136192,100.5559926,135000.0,True,done,Delivery,PDG,Success,YANG BERSANGKUTAN,D01,1.0,CGK,COLF01,2022-11-01 10:56:05 +0700,2022-11-01 13:52:20 +0700,cautiousCoconut1,7b25c424056c513a304c,"MUNGKA,SARILAMAK"
2022-11-01,2022-11-01,10:56:07,15:27:55,-0.143195,100.4965517,414000.0,True,done,Delivery,PDG,Success,YANG BERSANGKUTAN,D01,1.0,CGK,COLF01,2022-11-01 10:56:07 +0700,2022-11-01 15:27:55 +0700,cautiousCoconut1,edaaa092bb5d7f69a527,"LUHAK,KAB. LIMA PULU"
2022-11-01,2022-11-01,10:56:06,14:52:42,-0.1186635,100.5209986,215000.0,True,done,Delivery,PDG,Success,YANG BERSANGKUTAN,D01,1.0,CGK,COLF01,2022-11-01 10:56:06 +0700,2022-11-01 14:52:42 +0700,cautiousCoconut1,f7b80250cc82799b104d,"GUGUK,SARILAMAK"
2022-11-01,2022-11-01,11:56:24,14:46:15,4.1736393,96.1386157,168000.0,True,done,Delivery,BTJ,Success,YANG BERSANGKUTAN,D01,0.5,CGK,COLF01,2022-11-01 11:56:24 +0700,2022-11-01 14:46:15 +0700,humorousSausage2,b90e645d51f5bf4067d4,"JOHAN PAHLAWAN,MEULA"
2022-11-01,2022-11-01,11:56:23,20:33:24,4.1418636,96.1323254,303680.0,True,done,Delivery,BTJ,Success,YANG BERSANGKUTAN,D01,1.0,BDO,COLF01,2022-11-01 11:56:23 +0700,2022-11-01 20:33:24 +0700,humorousSausage2,4bf9959cac2799aab65a,"JOHAN PAHLAWAN,MEULA"
2022-11-01,2022-11-01,08:41:07,14:39:27,-7.8071323,109.996768,141500.0,True,done,Delivery,MGL,Success,YANG BERSANGKUTAN,D01,0.9,CGK,COLF01,2022-11-01 08:41:07 +0700,2022-11-01 14:39:27 +0700,peacefulTacos6,859cb872f0d41a8f1480,"BAGELEN,PURWOREJO"
2022-11-01,2022-11-01,08:41:07,12:41:25,-7.8744655,110.0382645,87846.0,True,done,Delivery,MGL,Success,YANG BERSANGKUTAN,D01,2.4,CGK,COLF01,2022-11-01 08:41:07 +0700,2022-11-01 12:41:25 +0700,peacefulTacos6,4ca8c0cd89cbd0b14037,"PURWODADI,PURWOREJO"
2022-11-01,2022-11-01,12:00:24,15:57:53,-6.9066197,109.722736,201000.0,True,done,Delivery,SRG,Success,YANG BERSANGKUTAN,D01,1.0,CGK,COLF01,2022-11-01 12:00:24 +0700,2022-11-01 15:57:53 +0700,pacifiedLion0,7cff0ce41a1a88be3242,"BATANG ,KAB BATANG"
2022-11-01,2022-11-01,12:00:23,19:08:42,-6.9218415,109.7286646,156000.0,True,done,Delivery,SRG,Success,YANG BERSANGKUTAN,D01,1.0,CGK,COLF01,2022-11-01 12:00:23 +0700,2022-11-01 19:08:42 +0700,pacifiedLion0,754b54fbfc05265af00e,"BATANG ,KAB BATANG"
2022-11-01,2022-11-01,12:00:24,19:04:19,-6.9205053,109.7277302,29632.0,True,done,Delivery,SRG,Success,YANG BERSANGKUTAN,D01,0.1,CGK,COLF01,2022-11-01 12:00:24 +0700,2022-11-01 19:04:19 +0700,pacifiedLion0,35f1e1c2a2c6acc743e3,"BATANG ,KAB BATANG"
2022-11-01,2022-11-01,10:23:10,20:31:13,-6.392165,106.2330333,47398.0,True,done,Delivery,CLG,Success,KELUARGA/SAUDARA,D09,2.0,CGK,COLF01,2022-11-01 10:23:10 +0700,2022-11-01 20:31:13 +0700,crummyCrane8,63d43a1636c41db96936,"CIMARGA,RANGKASBITUN"
2022-11-01,2022-11-01,10:23:10,20:31:13,-6.392165,106.2330333,138582.0,True,done,Delivery,CLG,Success,KELUARGA/SAUDARA,D09,3.0,CGK,COLF01,2022-11-01 10:23:10 +0700,2022-11-01 20:31:13 +0700,crummyCrane8,448d0dfb44137a1d03fc,"CIMARGA,RANGKASBITUN"
2022-11-01,2022-11-01,10:23:10,20:35:43,-6.3922967,106.2330883,241413.0,True,done,Delivery,CLG,Success,YANG BERSANGKUTAN,D01,7.22,CGK,COLF01,2022-11-01 10:23:10 +0700,2022-11-01 20:35:43 +0700,crummyCrane8,be89224d5378934e4a4d,"CIMARGA,RANGKASBITUN"
2022-11-01,2022-11-01,10:23:11,20:31:13,-6.392165,106.2330333,83824.0,True,done,Delivery,CLG,Success,KELUARGA/SAUDARA,D09,2.0,CGK,COLF01,2022-11-01 10:23:11 +0700,2022-11-01 20:31:13 +0700,crummyCrane8,a931916b659bfdbf6fc1,"CIMARGA,RANGKASBITUN"
2022-11-01,2022-11-01,10:23:11,20:31:13,-6.392165,106.2330333,98092.0,True,done,Delivery,CLG,Success,KELUARGA/SAUDARA,D09,2.0,CGK,COLF01,2022-11-01 10:23:11 +0700,2022-11-01 20:31:13 +0700,crummyCrane8,73c0103d8a8abb93acf7,"CIMARGA,RANGKASBITUN"
2022-11-01,2022-11-01,10:23:10,20:31:13,-6.392165,106.2330333,97594.0,True,done,Delivery,CLG,Success,KELUARGA/SAUDARA,D09,2.0,CGK,COLF01,2022-11-01 10:23:10 +0700,2022-11-01 20:31:13 +0700,crummyCrane8,e189b4637e779903ef4c,"CIMARGA,RANGKASBITUN"
2022-11-01,2022-11-01,10:23:10,20:31:13,-6.392165,106.2330333,102285.0,True,done,Delivery,CLG,Success,KELUARGA/SAUDARA,D09,3.75,CGK,COLF01,2022-11-01 10:23:10 +0700,2022-11-01 20:31:13 +0700,crummyCrane8,8ecd6798233b5642c3f2,"CIMARGA,RANGKASBITUN"
2022-11-01,2022-11-01,11:03:47,19:34:19,-6.6620723,106.3417801,38500.0,True,done,Delivery,CLG,Success,YANG BERSANGKUTAN,D01,0.4,CGK,COLF01,2022-11-01 11:03:47 +0700,2022-11-01 19:34:19 +0700,peacefulVenison0,ded76448e8b6357f8ea2,"SOBANG ,RANGKASBITUN"
2022-11-01,2022-11-01,11:03:46,17:45:55,-6.662407,106.3414122,62000.0,True,done,Delivery,CLG,Success,YANG BERSANGKUTAN,D01,0.35,CGK,COLF01,2022-11-01 11:03:46 +0700,2022-11-01 17:45:55 +0700,peacefulVenison0,80d9117ff41aed8b6739,"SOBANG ,RANGKASBITUN"
2022-11-01,2022-11-01,11:03:45,19:05:01,-6.6618762,106.3453622,28750.0,True,done,Delivery,CLG,Success,YANG BERSANGKUTAN,D01,0.15,CGK,COLF01,2022-11-01 11:03:45 +0700,2022-11-01 19:05:01 +0700,peacefulVenison0,4632ac50d023e7b84d81,"SOBANG ,RANGKASBITUN"
2022-11-01,2022-11-01,11:03:45,15:02:58,-6.662148,106.3394464,54317.0,True,done,Delivery,CLG,Success,YANG BERSANGKUTAN,D01,0.03,CGK,COLF01,2022-11-01 11:03:45 +0700,2022-11-01 15:02:58 +0700,peacefulVenison0,71b33e0fad089aa7d2e4,"SOBANG ,RANGKASBITUN"
2022-11-01,2022-11-01,11:03:46,19:38:45,-6.6620723,106.3417801,27815.0,True,done,Delivery,CLG,Success,YANG BERSANGKUTAN,D01,0.02,CGK,COLF01,2022-11-01 11:03:46 +0700,2022-11-01 19:38:45 +0700,peacefulVenison0,fa6c1b167c6d6a992b15,"SOBANG ,RANGKASBITUN"
